date,source,claim,verdict,iytis,rationale
"September 16, 2024",X posts,"The apparent assassination attempt against former President Donald Trump on Sept. 15, 2024, was “staged.”",pants-fire,"Authorities arrested 58-year-old Ryan Wesley Routh on Sept. 15, whom they said pointed a gun through the fence at Trump International Golf Club in West Palm Beach, Florida, where former President Donald Trump was golfing. The FBI said it is investigating the event as ""what appears to be an assassination attempt"" against Trump. The investigation is ongoing, but neither the FBI nor local authorities have said it was staged. Authorities recovered evidence, including an AK-47-style rifle, from a spot along the fence surrounding Trump’s golf course. The suspect has been arrested and charged with two federal gun crimes.","Soon after U.S. Secret Service agents intervened to stop a second assassination attempt against former President Donald Trump on Sept. 15, social media users started spreading conspiracy theories about the incident, including that it was staged. Some users pointed to Trump’s 2024 presidential campaign sending fundraising emails hours after the incident as proof. ""Trump is fundraising from these shooting incidents, it's almost like these are staged,"" an X user posted Sept. 15. Another X user tagged Trump’s X account and wrote , ""I don't buy your story for a second. So vague, with so little detail trickling out, like you're making it up as you go. No footage, no real details. Yet somehow, you had fundraising emails ready to go in minutes? Feels completely staged."" Other users on X and Instagram made similar claims. The Instagram post was flagged as part of Meta’s efforts to combat false news and misinformation on its News Feed. These claims are baseless. The FBI said it is investigating the event as ""what appears to be an assassination attempt"" against Trump. As Trump golfed at Trump International Golf Club in West Palm Beach, Florida, a man pointed a gun through the fence and bushes at Trump, who was 400 to 500 yards away. Per safety protocols, a U.S. Secret Service agent was stationed one to two holes ahead of Trump. At about 1:30 p.m., the agent ahead of Trump noticed the rifle barrel pointed through the fence and fired at the gunman, who drove away from the scene. Authorities later apprehended the suspect, whom they identified as Ryan Wesley Routh, 58. Trump’s campaign posted on X about an hour after the incident, saying Trump was ""safe following gunshots in his vicinity."" Trump himself posted on Truth Social that night thanking the Secret Service and local law enforcement for ""the incredible job done today."" Court documents said authorities recovered an AK-47-style rifle equipped with a scope, two bags, a digital camera and a black plastic bag containing food from the spot Routh had positioned himself along the fence surrounding Trump’s golf course. Officials shared photos of the evidence with news outlets during the press conference. Court filings show Routh was charged with two federal crimes: possession of a firearm by a convicted felon and possession of a firearm with an obliterated serial number. Claims that violent incidents and shootings were ""staged"" to distract from other news are a common trope among misinformers. In July, when a gunman opened fire on Trump during a Butler, Pennsylvania, campaign rally and a bullet grazed Trump’s ear, social media users also falsely claimed that assassination attempt was staged . Our ruling Social media users claimed the apparent assassination attempt against Trump on Sept. 15 was ""staged."" There is no evidence to support this. The FBI is investigating the incident as a potential assassination attempt against the former president. Authorities recovered evidence, including a rifle, after the event, and the suspect has been charged with federal gun crimes. This claim is inaccurate and meritless. We rate it Pants on Fire! "
"September 15, 2024",Threads posts,"“ABC lost $27M in ad revenue after advertisers pulled ads from the network after the way they hosted the debate"" on Sept. 10.",pants-fire,"We found no credible news stories saying the ABC network lost $27 million in ad revenue because of the Sept. 10 debate. An article making this claim was clearly marked ""satire"" on a website that says its stories are ""pure fantasy, folks.""","Vice President Kamala Harris and former President Donald Trump were the stars of the Sept. 10 presidential debate, but following the faceoff, some social media users have focused on ABC News, the debate’s television host. ""ABC lost $27M in ad revenue after advertisers pulled ads from the network after the way they hosted the debate on Tuesday, September 10th, stating that it wasn't conducted fairly,"" read a Sept. 13 Threads post . ""GREAT. WONDERFUL. I COULD NOT BE HAPPIER."" This post was flagged as part of Meta’s efforts to combat false news and misinformation on its News Feed. ( Screengrab from Threads ) The post cited no particular reports as evidence, but a Google search of ""ABC lost"" and ""$27 million"" turned up a page on SpaceXMania.com that was clearly labeled ""satire."" ""ABC Loses $27 Million in Advertising After Debate Fallout, ‘Won’t Be Hosting Any Debates In The Future,’"" the story’s headline read. Without naming specific brands or advertisers, the piece claimed ""five major advertisers"" dropped their ABC News advertising, including ""a luxury car brand,"" ""a major fast-food chain"" and ""a high-end fashion label and a beverage giant."" Additionally, SpaceXMania.com’s ""about us"" page said the site’s ""mission"" is ""to bring you the freshest fake news, some sassy analysis, and a good dose of satire,"" with some additional focus on topics connected to Elon Musk, who owns SpaceX. ""Quick heads up, though — every single article on our site is about as real as a unicorn sipping on a rainbow smoothie,"" the page said . ""They’re pure fantasy, folks, not a snapshot of reality."" SpaceXMania.com’s ""disclaimer"" page further clarified its use of the satire tag. ""Please note that the article(s) under the category ‘SATIRE’ are satirical in nature and are not meant to be taken seriously,"" it said. ""These articles are meant to be humorous and are often entirely made up."" We searched using Google and the Nexis news database and found no credible reports that ABC lost advertisers or ad revenue because of its handling of the Sept. 10 presidential debate in Philadelphia. We also found no statements from ABC saying that the network had lost major advertisers. We contacted ABC News and received no response before publication. This wasn’t the first baseless claim about the network that hosted the debate between Harris and Trump. PolitiFact rated claims that ABC fired the debate moderators Pants on Fire! This fabricated story about ABC’s post-debate revenue merits the same: Pants on Fire!  "
"September 13, 2024",Threads posts,An image shows Travis Kelce responding to Elon Musk X post that followed Taylor Swift’s endorsement of Vice President Kamala Harris.,false,We found no evidence that Travis Kelce responded to Elon Musk after the X owner reacted on X to Taylor Swift’s endorsement of Vice President Kamala Harris. The text in an image purporting to be from Kelce’s X account stems from a baseball joke.,"Moments after the 2024 presidential debate ended, singer-songwriter Taylor Swift threw her support behind Democratic Vice President Kamala Harris, writing on Instagram that Harris ""fights for the rights and causes I believe need a warrior to champion them."" Swift posed with one of her three cats, Benjamin Button, and signed the endorsement ""Taylor Swift, childless cat lady,"" in a dig at comments by Ohio Sen. JD Vance, the Republican vice presidential nominee. View this post on Instagram A post shared by Taylor Swift (@taylorswift) Entrepreneur Elon Musk, who supports former President Donald Trump in the presidential race, responded to Swift’s endorsement on his X platform. ""Fine Taylor … you win … I will give you a child and guard your cats with my life,"" wrote Musk, who has fathered at least 12 children with three different women . He has amplified inaccurate claims that Western countries are experiencing a population collapse and argued he is ""doing my part"" to combat it. Musk critics and Swift supporters derided Musk’s remarks as "" sexist, controversial ,"" and "" creepy ."" Vanity Fair characterized the post as ""a disturbing sexual comment."" One person who hasn’t responded? Swift’s boyfriend, National Football League player Travis Kelce. However, that fact didn’t stop social media users from circulating a fake X post screenshot as if it were a rebuttal from Kelce, the Kansas City Chiefs’ tight end. ""I’m 6’5"" and actually play football,"" read a screenshot shared Sept. 12 on Threads that purported to show Kelce’s reply. ""The fact I went to college and got a degree and worked hard might be lost on you. I don’t play backgammon but I do play chess. I could also twist you into a pretzel."" (Screenshot from Threads) This post was flagged as part of Meta’s efforts to combat false news and misinformation on its News Feed. PolitiFact found no evidence that Kelce, who earned his degree in 2022 from the University of Cincinnati, wrote those things. Using an advanced search on X, we looked for posts from his handle, @tkelce, and for the phrase ""actually play football,"" and found no results . As of 3 p.m. ET Sept. 13, Kelce’s X account showed no posts or replies since Sept. 9. We contacted Kelce and received no response before publication. The language from the alleged Kelce post is copied from an inside joke that stems from ""trash talk between a Baltimore Orioles fan"" and someone behind the baseball blog TalkNats.com (Nats being the Washington Nationals), The Cincinnati Enquirer reported . The only difference is that the fake Kelce post says ""football"" instead of ""baseball."" The earliest appearance online of the screenshot that we could find using a reverse image search was shared by X user @theABinKC, who told PolitiFact in a direct message that he created the fake screenshot. Like Kelce, Swift has not publicly responded to Musk’s X post. When accepting an award Sept. 11 at the MTV Video Music Awards, however, Swift again urged people to register to vote. Swift endorsed President Joe Biden in 2020 with a platter of cookies bearing the Biden-Harris campaign logo. Experts say it often takes more than a single message or action for celebrity endorsements to move the needle on elections. A Threads post shared an image that it said shows Kelce responding to a Musk X post. We rate that claim False. PolitiFact Audience Engagement Producer Ellen Hine contributed to this report.  "
"September 13, 2024",Instagram posts,"""Debate moderators made the false claim to Donald Trump that there is nowhere in the United States where abortion is legal up until birth.""",false,"ABC News debate moderator Linsey Davis fact-checked a false claim by former President Donald Trump, who said Democrats support aborting babies after birth. Davis correctly pointed out that killing a baby after it is born is illegal in all 50 states.","ABC News debate moderators David Muir and Linsey Davis have received criticism from former President Donald Trump and other conservatives for fact-checking Trump several times during his debate with Vice President Kamala Harris. One social media user criticized Davis’ fact-checking Trump on abortion, but put words in her mouth. ""Last night during the ABC debate, two of the participants, otherwise known as the moderators of the debate, made the false claim to Donald Trump that there is nowhere in the United States where abortion is legal up until birth,"" a man said in a Sept. 11 Instagram video . ""Unfortunately for ABC, this is their own graphic which clearly shows if you read right here, the states in dark green have no restrictions based on gestational age,"" the speaker said. The Instagram post was flagged as part of Meta’s efforts to combat false news and misinformation on its News Feed. The video showed a June 2023 ABC News graphic that has since been updated to include three additional states that have no restrictions based on gestational age. But ABC’s fact-check of Trump on abortion was not about state restrictions on gestational age. The Instagram post criticizes a fact-check that Davis didn’t make, a transcript and video of the exchange shows. The exchange began when Davis asked Trump why women voters should trust him about reproductive rights policy when he has changed his position on abortion. Most recently, Davis noted, Trump said he supports Florida’s six-week abortion ban, which he previously said was too brief. Trump responded by falsely accusing Democrats and Minnesota Gov. Tim Walz, Harris’ running mate, of supporting postbirth abortions. ""Well, the reason I'm doing that vote is because the plan is, as you know, the vote is, they have abortion in the ninth month. They even have, and you can look at the governor of West Virginia, the previous governor of West Virginia, not the current governor, who's doing an excellent job, but the governor before. He said the baby will be born and we will decide what to do with the baby. In other words, we'll execute the baby. ""And that's why I did that, because that predominates. Because they're radical. The Democrats are radical in that. And her vice presidential pick, which I think was a horrible pick, by the way for our country, because he is really out of it. But her vice presidential pick says abortion in the ninth month is absolutely fine. He also says execution after birth, it's execution, no longer abortion, because the baby is born, is OK. And that's not OK with me. Hence the vote. But what I did is something for 52 years they've been trying to get Roe v. Wade into the states."" Trump mistakenly referred to West Virginia’s governor, when he meant Virginia’s Democratic former governor, Ralph Northam. Trump has repeatedly misstated Northam’s 2019 comments about abortion to claim Northam approves of executing babies. And The Washington Post found that Harris’ running mate Gov. Tim Walz has made no such statements about abortion or ""execution after birth."" Trump went on for a few more moments in the debate, then Davis concisely fact-checked Trump’s claim about post-birth abortions. ""There is no state in this country where it is legal to kill a baby after it's born,"" Davis said, before turning to Harris for a response. As PolitiFact has reported before , willfully killing a newborn child is infanticide and illegal in all 50 states. Fetal deaths in the third trimester are exceedingly rare and usually involve emergencies such as fatal anomalies or life-threatening complications affecting the mother, health experts have said. For fetuses with very short life expectancies, doctors may induce labor and offer palliative care to make the newborn as comfortable as possible. Neither moderator fact-checked Trump again on abortion for the rest of the debate. An Instagram post claiming a moderator falsely told Trump ""that there is nowhere in the United States where abortion is legal up until birth"" misstates what Davis said. She corrected Trump’s false claim that Democrats support ""executing"" babies after birth, which is illegal. We rate the Instagram post False. "
"September 13, 2024",Facebook posts,ABC News fired presidential debate moderators David Muir and Linsey Davis.,pants-fire,We found no credible news stories or ABC News statements saying that presidential debate moderators David Muir and Linsey Davis were fired. The article making the claim originated on a satire news website.,"ABC News’s debate moderators David Muir and Linsey Davis took a page from fact-checkers' books during the Sep. 10 presidential debate when they called out false claims former President Donald Trump made in real time. Some social media users claimed the move cost the moderators their jobs. ""ABC Fires Debate Moderators David Muir and Linsey Davis: ""They Are a Disgrace to Their Profession,"" a Sept. 12 Facebook post reads. Screenshot from Facebook This post was flagged as part of Meta’s efforts to combat false news and misinformation on its News Feed. The Facebook post links to an article that said ABC News released a statement Sept. 11 that the network fired Muir and Davis for fact-checking Trump and asking Vice President Kamala Harris’ questions. The article also said X CEO Elon Musk and conservative talk show host Megyn Kelly commented online about the firing. We searched Google and the Nexis news database and found no reports about ABC News firing Muir and Davis. ABC News’ press site also contains no statements about a firing. The article in the post was originally published Sep. 12 on a site describing itself as ""your one-stop destination for satirical news and commentary about the United States of America."" But the Facebook post resharing the article did not include a satire label. We contacted an ABC News spokesperson but received no response. We rate the claim that ABC News fired debate moderators Muir and Davis Pants on Fire! "
"September 12, 2024",X posts,"Kamala Harris “descubierta usando unos zarcillos con audífonos inhalambricos, para que le soplaran las respuestas durante el debate contra Donald Trump”.",pants-fire,"Los zarcillos de la vicepresidenta Kamala Harris eran un diseño diferente que los zarcillos con audífonos NOVA H1. Si ves algo que te hace preguntar: ¿es cierto? Mándanoslo por WhatsApp y nuestro equipo lo investigará, (813) 260-7595. ¡Sigue nuestro canal en WhatsApp!","Durante el debate presidencial del 10 de septiembre entre la vicepresidenta Kamala Harris y el expresidente Donald Trump, los espectadores se enfocaron más que en solo las palabras de los candidatos y su lenguaje corporal. Algunos vieron espacio para una teoría conspirativa en la selección de joyería de Harris. Ellos dijeron que sus pendientes de perla la ayudaron en su desempeño en el debate contra el expresidente Donald Trump. ""Polémica después que Kamala fuera descubierta usando unos zarcillos con audífonos inhalambricos, para que le soplaran las respuestas durante el debate contra Donald Trump"", dice una publicación en X del 11 de septiembre. ""Ahora se entiende porque puso tantas condiciones para debatir"". La publicación muestra en una imagen los pendientes audifonos NOVA H1 junto a imágenes de los pendientes de Harris durante el debate. (Captura de pantalla de publicación en X) Otras publicaciones en Instagram , X y TikTok también compartieron declaraciones similares. La publicación fue marcada como parte del esfuerzo de Meta para combatir las noticias falsas y la desinformación en su plataforma. (Lea más sobre nuestra colaboración con Meta , propietaria de Facebook e Instagram). Pero la declaración de que Harris uso pendientes con audífonos es errónea. Los pendientes NOVA H1 y los que Harris llevaba durante el debate pueden parecer similares debido a que ambos diseños tienen una perla, pero al examinarlos más de cerca, se nota que tienen diferencias importantes. Los zarcillos de audio NOVA H1 fueron introducidos por la compañía como l os primeros en tener audífonos inalámbricos . A diferencia de los audífonos tradicionales, los zarcillos audífonos se colocan en el lóbulo de la oreja, no dentro de la oreja, y utilizan "" tecnología de sonido direccional "" para llevar el audio al oído, dijo la compañía. La página web del producto muestra dos versiones , una en plata y una en oro. Ambas versiones tienen una perla y un tallo grueso que se ajusta alrededor del lóbulo de la oreja. Malte Iversen, CEO de Icebach Sound Solutions, la compañía que produjo los zarcillos NOVA H1, le dijo a PolitiFact en un correo electrónico juguetón ""nosotros no sabemos"" si Harris usó uno de los productos de su compañía. La página de Icebach Sound Solutions dice que una ""edición especial para los debates presidenciales"" va a estar disponible pronto; Iversen le dijo a PolitiFact que el producto se agotó. La página web también dice que dada la atención que recibieron después del debate, la compañía dará una entrevista a Jimmy Fallon, el presentador del The Tonight Show, para ""aclarar los rumores y mitos alrededor de su maravilloso producto"". No hay evidencia de que Harris usó los aretes NOVA H1. Harris llevaba aretes con dos líneas más finas — como un imperdible doblado por la mitad, con la perla como cabeza. La candidata presidencial demócrata, la vicepresidenta Kamala Harris, habla durante un debate presidencial con el candidato presidencial republicano, el expresidente Donald Trump, en el Centro Nacional de la Constitución en Filadelfia, el 10 de septiembre de 2024. (AP) La declaración también se hizo viral en X en inglés, donde una nota comunitaria dijo que los pendientes de Harris eran de Tiffany & Co. La nota citó el blog fundado por Susan E. Kelley, ""What Kamala Wore"", que dice que Harris usa un par de pendientes de perlas de los mares del Sur de la colección Tiffany HardWear ""con cierta frecuencia"". El blog también dice que ya no están disponibles en la página web de Tiffany & Co. Kelley dijo en su blog que Harris usó los pendientes de Tiffany durante el debate presidencial. ""Hubo una narrativa bizarra siendo impulsada anoche declarando que la vicepresidenta usó aretes con un recibidor de audio"", ella escribió en su recapitulación del vestuario de Harris del debate. ""Yo me siento cómoda declarando que claramente ese no fue el caso; estos son los mismos aretes de Tiffany que ella ha usado por meses"". El blog de Kelley incluye la primera aparición de Harris el 6 de agosto con el gobernador de Minnesota Tim Walz como su compañero de fórmula en Filadelfia, como una de las ocasiones en las que Harris usó esos aretes. La candidata presidencial demócrata, la vicepresidenta Kamala Harris, y su compañero de fórmula, el gobernador de Minnesota, Tim Walz, hablan en un mitin de campaña en Filadelfia, el 6 de agosto de 2024. (AP) La campaña de Harris no le dio a PolitiFact una respuesta oficial. Las declaraciones sobre candidatos usando audífonos no son nuevas. En 2016, PolitiFact desmintió declaraciones de que Hillary Clinton usó auriculares para ayudarla durante debates presidenciales. Una declaración similar también surgió sobre el presidente Joe Biden en 2020. Calificamos la declaración de que Harris usó unos zarcillos con audífonos inalámbricos durante el debate presidencial como Ridícula y Falsa. La investigadora de PolitiFact Caryn Baird contribuyó a este reporte. Lee más reportes de PolitiFact en Español. "
"September 11, 2024",Kamala Harris,"“As of today, there is not one member of the United States military who is in active duty in a combat zone, in any war zone around the world, for the first time this century.”",barely-true,"A Defense Department spokesperson told PolitiFact that the U.S. is not currently engaged in a war, nor does the U.S. military have service members fighting in any active war zones. However, some U.S. military service members are stationed in areas the U.S. government recognizes as combat zones. In 2024 alone, several U.S. service members have been killed or injured during military operations abroad.","The first 2024 presidential election debate between Vice President Kamala Harris and former President Donald Trump touched on many issues, including U.S. military activity abroad. ABC News moderators asked Harris whether she believed she bore any responsibility for the way the U.S. military withdrew from Afghanistan in 2021. Thirteen U.S. service members were killed in an attack during the withdrawal. Harris said she agreed with President Joe Biden’s decision to pull U.S. troops out of Afghanistan. ""Four presidents said they would, and Joe Biden did,"" Harris said . ""And as of today, there is not one member of the United States military who is in active duty in a combat zone, in any war zone around the world, first time this century."" When we contacted Harris’ presidential campaign for evidence to support this statement, a spokesperson referred us to the Defense Department. A Defense Department spokesperson told PolitiFact that the U.S. is neither engaged in a war, nor has service members fighting in active war zones anywhere in the world. ""An aspect of military service includes serving in locations where hostile actions may occur,"" the Defense Department official said in a statement to PolitiFact. ""Those locations are designated by executive order and/or the Secretary of Defense. However, it’s important to note that just because a service member is in one of these locations does not mean they are engaged in war."" But Harris’ inclusion of ""combat zone"" in that statement is misleading and experts said it significantly underplays the broader landscape of active duty military service abroad. The Internal Revenue Service tracks combat zones for tax purposes. The term generally refers to ""hostile areas where (the) military may serve, (including) actual combat areas, direct combat support areas and qualified hazardous duty areas,"" the IRS said on a webpage last reviewed and updated Aug. 19. Citing the Defense Department, the IRS said that as of August, recognized combat zones included the Sinai Peninsula, and the Afghanistan, Kosovo and Arabian Peninsula areas. Melanie Sisson, a foreign policy fellow at the Brookings Institution, a think tank, said some of these combat zone designations, such as the one over Kosovo, are ""holdovers"" from previous U.S. military operations. But the combat zones do include areas in which U.S. service members are now deployed, she said. PolitiFact asked the Defense Department for a list of places within the designated combat zones that U.S. military service members are serving in, but we did not receive a response before publication. As of June, the nonpartisan think tank Council on Foreign Relations said the U.S. had several thousand service members stationed across multiple foreign countries and on ships at sea in the Middle East. Many of these countries are in the currently recognized combat zones listed on the IRS website . Specifically, the Defense Department and news outlets have reported that there are about 2,500 U.S. service members in Iraq and about 900 in Syria , fighting against Islamic State militants. Additionally, thousands of U.S. service members have been deployed to the Middle East since the Israel-Hamas war started in October 2023. There have been multiple instances this year in which U.S. service members have been killed or injured while serving abroad. In January, three U.S. Army Reserve soldiers were killed and at least 34 others were injured in a drone strike in Jordan. In February, two U.S. Navy SEALs drowned during an Iranian weapons seizure mission. In August, eight U.S. service members were wounded in a drone attack in Syria. That same month, another seven U.S. service members were injured in a raid targeting Islamic State militants. ""It is not accurate to suggest that U.S. service members are not, today, in harm’s way,"" Sisson said. Peter Feaver, a Duke University political science professor who specializes in civil-military relations, echoed Sisson, saying many U.S. military personnel are engaged in operations ""that put them at serious risk of attack by adversaries."" ""For the men and women serving on these and many other missions, not to mention their families and loved ones, this feels very much like serving in a combat zone,"" Feaver said. Our ruling Harris said, ""As of today, there is not one member of the United States military who is in active duty in a combat zone, in any war zone around the world, for the first time this century."" The Defense Department confirmed the U.S. military is not engaged in a war. But Harris’ statement ignores critical facts. There are thousands of U.S. military service members stationed in areas that are considered combat zones. These members face hostilities from foreign adversaries and some have been killed or injured during military operations. We rate Harris’ statement Mostly False.  "
"September 11, 2024",X posts,"""Dallas County Texas (tells) election workers to (illegally) lie on registration & use a church address to register homeless people to vote!”",pants-fire,"Texas law does not require a homeless person to be housed to register to vote. A social media video shows election workers in Dallas County, Texas, discussing how to register homeless people to vote. It does not show them discussing how to illegally register homeless voters, elections officials there said. Homeless voters can list a street corner, a park or wherever they normally reside as their place of residence. They must also provide a mailing address, for example, a shelter, a P.O. Box, a relative’s home or a nonprofit group’s address where they can receive mail.","A video of a Dallas County Elections Department training class in Texas is being falsely shared online as evidence of voter fraud. A Sept. 9 X post with a grammatical and a spelling error said, ""Dallas County Texas Tell Election Workers To ILLEGALY LIE ON REGISTRATION & USE A CHURCH ADDRESS TO REGISTER HOMELESS PEOPLE TO VOTE!"" The post was written by John Basham, who the Dallas Morning News reported is a former Reno, Texas, city council member. The ""Video Was Recorded August 24th During Election Training By Dallas County Elections Dept.,"" Basham wrote, linking to an X post with the same video from conservative media personality Joe Hoft. Basham’s post had more than 60,000 likes and 2.7 million views by Sept. 11, according to X. We contacted Basham through an X message but received no response. We found other social media posts sharing the same video and language used in Basham’s post. In the 34-second video Basham shared, a woman seated in a classroom setting asked, ""So we should just put the church address because that’s where they come?"" Someone off camera responded: ""Where do they sleep?"" the person asked. ""On the street,"" the woman responded. ""They sleep right outside the church."" ""That’s the residence address,"" the person off camera said. ""If they sleep in that area, give a description, that’s the residence address. You have to … include a mailing address. If the church has a box that she’s going to share with them, the box is fine. That’s the mailing address."" What the people described is perfectly legal under Texas law. The Dallas County Elections Department released a Sept. 10 statement in response to what it called ""misinformation"" in the social media posts. ""These claims falsely imply that legally protected voter registration practices are acts of voter fraud,"" the statement said. ""State law is very clear: having a home is not a requirement to be eligible to register to vote, and voters can use an address other than their residential address as a mailing address."" Dallas County Elections Administrator Heider Garcia said voting eligibility requirements are clearly defined in state law. ""Our unhoused population in Dallas County, many of whom are veterans, deserve to be treated like every other voter who is allowed to use an alternate mailing address,"" Garcia said in the statement. The state law that Garcia referred to, which was also cited in a community note on Basham’s post, says in Sec. 13.002 of the election code that a voter application must include the applicant’s residence address, ""or, if the residence has no address, the address at which the applicant receives mail and a concise description of the location of the applicant ’s residence."" ""The law is crystal clear on this, a person does not lose their right to vote when they experience homelessness,"" said Anthony Gutierrez, executive director of Common Cause Texas, a voting rights advocacy group. ""Texas law explicitly allows a person experiencing homelessness to use an alternate mailing address."" TexasLawHelp.org, an effort by Texas legal aid organizations and foundations, courts, and nonprofits to provide free, reliable legal information to low-income Texans, described on its website how unhoused people can register to vote in the state. Such voters ""can include the address where you sleep most often as the place you ‘reside.’ this can be a shelter address, a park address, or even a street corner."" Homeless voters must also provide a valid mailing address. That can be a post office box, or some shelters and nonprofit organizations may allow them to use their addresses to receive mail, the website said. Texas’ law regarding homeless voters is in line with other states, according to the National Coalition for the Homeless, a national advocacy group for the homeless. A webpage for the group’s ""You Don’t Need a Home to Vote"" campaign said, ""Many individuals, homeless or otherwise, aren’t even aware that no state requires residents to have a traditional residence in order to vote in elections."" A separate webpage specific to Texas said homeless voters must provide an address where they can receive mail, such as a shelter, service provider or relative, but a residential address can be wherever they usually reside, such as a park or street corner. Our ruling An X post said that Dallas County election workers were telling trainees to illegally lie on voter applications and use a church address to register voters. The Dallas County Election Department called this claim misinformation. It said state law is clear that you don’t need a home to vote, and that voters can use an address other than their residential address as a mailing address. Texas law supports this and is consistent with laws across the country, homeless advocates say. This video didn’t show election workers advising breaking the law; it showed them following it. We rate the claim Pants on Fire! PolitiFact Senior Correspondent Amy Sherman and Researcher Caryn Baird contributed to this fact-check. "
"September 11, 2024",Donald Trump,"""In Springfield (Ohio), they're eating the dogs, the people that came in, they're eating the cats. They're eating, they're eating the pets of the people that live there.”",pants-fire,"A Springfield, Ohio, city spokesperson, the mayor and city police all said claims that Haitian immigrants are stealing and eating residents’ pets are unfounded. The claims appear to have originated with unverified social media posts. Read a roundup of our fact-checks from the first presidential debate between Vice President Kamala Harris and former President Donald Trump.","Former President Donald Trump at his Sept. 10 debate with Vice President Kamala Harris repeated a debunked claim that Haitian immigrants were eating people’s pets in Springfield, Ohio. ""In Springfield, they're eating the dogs. The people that came in, they're eating the cats. They're eating, they're eating the pets of the people that live there,"" Trump said as he attacked Harris and President Joe Biden’s immigration policies. Karen Graves, a Springfield spokesperson, told PolitiFact there are ""no credible reports or specific claims of pets being harmed, injured or abused by individuals within the immigrant community."" Springfield police told a local news outlet the agency knew of no such reports about pets. The claim has gone viral in recent days, spread in part by high-profile conservatives, including Trump’s running mate, Sen. JD Vance, R-Ohio . X owner Elon Musk , Sen. Ted Cruz , R-Texas, the Republican-led House Judiciary Committee and conservative influencer Charlie Kirk shared claims similar to Trump’s on social media. Some of the social media claims mentioned immigrants killing ducks or geese, but Graves said there were no reports of that or other crimes that have recently been pinned on Haitian immigrants. Vance defended Trump’s claim in the spin room after the debate. He pointed reporters to a Sept. 10 article from conservative website The Federalist that included an Aug. 26 police report and audio recording from a caller to a communications center in Clark County, Ohio, where Springfield is. The caller reported a group of four Haitian people in Springfield, each carrying a goose. ""Whether they were eating geese or dogs, is that really what we’re going to hang our hat on?"" Vance said, The Washington Post reported . However, the city spokesperson said there were no reports to the city of ducks or geese being killed or other crimes that have recently been pinned on Haitian immigrants. Springfield Mayor Rob Rue at a Sept. 10 city commission meeting reiterated that there were no credible or specific claims about Haitian immigrants stealing and eating pets. ""Rumors like these are taking away from the real issues such as housing concerns, resources needed for our schools and our overwhelmed health care system,"" Rue said. Many of the social media posts that shared the claims relied on an account from an unidentified person shared in a private Facebook group that said its author’s neighbor’s daughter’s friend came home from work to find her cat butchered and hanging in a tree at a Haitian immigrant’s home next door. Trump campaign spokespeople did not immediately respond to an email seeking comment about Trump’s debate claim. Vance, in a follow-up X post Sept. 10, said his ""office has received many inquiries from actual residents of Springfield who’ve said their neighbors’ pets or local wildlife were abducted by Haitian migrants."" Vance appeared to acknowledge that some reports may not be accurate, writing, ""It’s possible, of course, that all of these rumors will turn out to be false."" But he also said in another follow-up post : ""Keep the cat memes flowing."" The influx of as many as 20,000 Haitian migrants in the community has sparked controversy, particularly in August 2023, after a Haitian immigrant without a valid Ohio driver’s license drove a minivan into a school bus, killing an 11-year-old boy, The New York Times reported . Since 2023, some Haitians have come to the U.S. through the Department of Homeland Security’s humanitarian parole program that lets people from Cuba, Haiti, Nicaragua and Venezuela and their immediate family members request to come to the United States legally. They can be paroled into the United States for up to two years. The Haitian immigrants using that program are in the U.S. legally, a Springfield city website notes. The language about Haitian immigrants eating family pets is similar to unfounded claims some conservatives shared earlier this year warning about gangs of Haitian cannibals that may be coming to the U.S. Experts told PolitiFact such narratives painting Haiti as a barbarous country are not new, and are racist attempts to dehumanize Haitians. Our ruling Trump said that in Springfield, Ohio, Haitian immigrants are ""eating the pets of the people that live there."" He doubled down on the claim after being corrected by debate moderator David Muir, despite multiple news outlets debunking the claim a day earlier and against the backdrop of rebuttals from Springfield city officials. The claim appears to stem from an unverified secondhand Facebook post. A city spokesperson and Springfield police said they have received no credible reports that pets are being abducted and eaten by the immigrants. Springfield’s mayor also said the claims are not credible at a Sept. 10 city commission meeting. We rate the claim Pants on Fire! "
"September 6, 2024",Instagram posts,Video shows Democratic vice presidential candidate Tim Walz dancing to Beyoncé in a cowboy hat and crop top.,false,"This video was altered. The original video was posted in February and shows performer Matthew Krumpe dancing to ""Texas Hold ‘Em.""","This ain’t Texas. And this ain’t Tim Walz dancing to Beyoncé’s ""Texas Hold ‘Em."" A Sept. 5 Instagram video showed a man who resembled the Democratic vice presidential candidate and Minnesota governor dancing in a red cowboy hat and black leather crop top and pants. ""Is it 2024 Democratic Party vice presidential candidate Tim Walz,"" text on the video read. Other users on Instagram , TikTok and X also shared this supposed video of Walz. (Screengrab from Instagram) The Instagram posts were flagged as part of Meta’s efforts to combat false news and misinformation on its News Feed. But this video was altered. The original video , posted Feb. 19 on Instagram, does not show Walz dancing. The person in the video is a performer named Matthew Krumpe. That’s not to say the Harris-Walz campaign isn’t part of the BeyHive. Vice President Kamala Harris has been using Beyoncé’s song ""Freedom"" as her presidential campaign anthem . The song was played at the Democratic National Convention and has been used in campaign ads. We rate the claim that a video shows Walz dancing to Beyoncé in a cowboy hat and crop top False. "
