claim_number,claim_text
1,We have cut the flow of fentanyl by half.
2,"Vice President, Kamala Harris cast the tie-breaking vote to cut, as you know, Medicare by $273 billion. She cast a vote to cut Medicare."
3,There will not be another foot of wall constructed in my administration.
4,"During Biden's first 30 months in office, just 2.1 million new jobs were created, and by contrast, during my first 30 months in office we created 4.9 million new jobs."
5,"Even before the pandemic, (Donald Trump) lost manufacturing jobs, by most people's estimates at least 200,000."
6,"With your Democrat governor, you have some of the highest electricity prices and highest energy costs. It's just about at the top in Wisconsin."
7,Because of our economic policies we now are reducing inflation.
8,Biden has implemented a formal policy that illegal aliens who intrude into the United States are granted immunity from deportation.
9,"After Roe was dismantled, extremists evoked a law from 1849 to stop abortion in Wisconsin."
10,The transgender thing is incredible... your kid goes to school and comes home a few days later with an operation. The school decides what's going to happen with your child.
11,"Former President Donald Trump would ""force states to monitor women's pregnancies."""
12,"In Springfield (Ohio), they're eating the dogs, the people that came in, they're eating the cats. They're eating, they're eating the pets of the people that live there."
