claim_number,meme_number,overall_average,evaluation_type,coherence,clarity,hilarity,persuasiveness,template_appropriateness,filename
1,5,3.4,worst,2.0,3.0,2.0,3.0,4.0,5.png
1,4,3.4333333333333336,worst,3.0,2.0,2.0,1.0,3.0,4.png
1,6,3.457142857142857,worst,1.0,3.0,2.0,2.0,2.0,6.png
1,3,4.06,best,5.0,5.0,5.0,5.0,5.0,3.png
1,1,4.0840000000000005,best,5.0,5.0,5.0,5.0,5.0,1.png
1,7,4.3,best,5.0,5.0,5.0,4.0,5.0,7.png
2,6,3.2,worst,2.0,3.0,1.0,2.0,2.0,6.png
2,5,3.2666666666666666,worst,1.0,3.0,1.0,1.0,3.0,5.png
2,2,3.5400000000000005,worst,2.0,3.0,1.0,1.0,1.0,2.png
2,4,3.822222222222222,best,5.0,5.0,5.0,5.0,5.0,4.png
2,7,3.9,best,5.0,5.0,5.0,5.0,5.0,7.png
2,3,4.0,best,5.0,5.0,5.0,4.0,5.0,3.png
3,7,1.2,worst,1.0,1.0,1.0,1.0,2.0,7.png
3,6,3.0,worst,2.0,3.0,3.0,4.0,3.0,6.png
3,3,3.2,worst,4.0,3.0,3.0,3.0,3.0,3.png
3,1,3.6,best,4.0,4.0,3.0,4.0,5.0,1.png
3,5,3.844444444444444,best,5.0,5.0,5.0,5.0,5.0,5.png
3,8,3.8857142857142852,best,5.0,5.0,5.0,5.0,5.0,8.jpg
4,4,2.1,worst,1.0,2.0,2.0,1.0,1.0,4.png
4,3,3.4,worst,3.0,4.0,2.0,3.0,3.0,3.png
4,5,3.5,worst,2.0,3.0,2.0,2.0,2.0,5.png
4,7,3.866666666666667,best,5.0,5.0,5.0,5.0,5.0,7.png
4,2,3.9272727272727272,best,5.0,5.0,5.0,5.0,5.0,2.png
4,8,3.96734693877551,best,5.0,5.0,5.0,5.0,5.0,8.jpg
5,7,2.7,worst,1.0,1.0,1.0,1.0,1.0,7.png
5,2,3.1,worst,3.0,3.0,1.0,1.0,2.0,2.png
5,3,3.28,worst,2.0,3.0,1.0,2.0,3.0,3.png
5,8,3.706666666666666,best,5.0,5.0,5.0,5.0,5.0,8.jpg
5,5,3.711111111111111,best,5.0,5.0,5.0,5.0,5.0,5.png
5,1,3.733333333333333,best,5.0,4.0,5.0,5.0,5.0,1.png
6,5,2.4666666666666663,worst,1.0,2.0,1.0,1.0,2.0,5.png
6,3,3.575,worst,1.0,1.0,1.0,1.0,1.0,3.png
6,7,3.75,worst,3.0,3.0,2.0,3.0,2.0,7.png
6,8,3.891891891891892,best,5.0,5.0,5.0,5.0,5.0,8.jpg
6,2,3.907692307692307,best,5.0,5.0,5.0,5.0,5.0,2.png
6,4,4.066666666666666,best,5.0,5.0,5.0,5.0,5.0,4.png
7,2,3.2,worst,2.0,1.0,2.0,1.0,2.0,2.png
7,7,3.2,worst,2.0,3.0,1.0,2.0,2.0,7.png
7,3,3.5,worst,3.0,2.0,2.0,3.0,3.0,3.png
7,1,3.8571428571428577,best,5.0,5.0,5.0,5.0,5.0,1.png
7,5,3.9384615384615387,best,5.0,5.0,5.0,5.0,5.0,5.png
7,6,4.066666666666666,best,5.0,5.0,5.0,5.0,5.0,6.png
8,5,2.7777777777777777,worst,1.0,1.0,1.0,1.0,1.0,5.png
8,7,3.4,worst,3.0,3.0,1.0,3.0,3.0,7.png
8,4,3.5,worst,3.0,3.0,3.0,3.0,3.0,4.png
8,3,3.78,best,5.0,5.0,5.0,5.0,5.0,3.png
8,8,3.782857142857143,best,5.0,5.0,5.0,5.0,5.0,8.jpg
8,1,3.8,best,5.0,5.0,4.0,5.0,5.0,1.png
9,5,2.7600000000000002,worst,2.0,1.0,1.0,1.0,1.0,5.png
9,6,3.2333333333333334,worst,2.0,2.0,1.0,1.0,1.0,6.png
9,3,3.3,worst,2.0,2.0,2.0,2.0,1.0,3.png
9,2,3.815384615384615,best,5.0,5.0,5.0,5.0,5.0,2.png
9,7,4.0,best,5.0,5.0,4.0,4.0,5.0,7.png
9,4,4.2,best,4.0,5.0,5.0,4.0,5.0,4.png
10,3,2.88,worst,2.0,1.0,1.0,1.0,1.0,3.png
10,7,3.0857142857142854,worst,2.0,2.0,2.0,1.0,3.0,7.png
10,4,3.3,worst,1.0,1.0,1.0,1.0,1.0,4.png
10,5,3.4666666666666663,best,5.0,5.0,5.0,5.0,5.0,5.png
10,1,3.8,best,5.0,5.0,5.0,5.0,5.0,1.png
10,6,4.085714285714286,best,5.0,5.0,5.0,5.0,5.0,6.png
11,5,2.8,worst,2.0,1.0,1.0,1.0,1.0,5.png
11,3,3.1333333333333333,worst,2.0,2.0,1.0,2.0,3.0,3.png
11,7,3.2666666666666666,worst,2.0,3.0,1.0,2.0,3.0,7.png
11,4,3.6307692307692307,best,5.0,5.0,4.0,5.0,5.0,4.png
11,2,3.8526315789473684,best,5.0,5.0,5.0,5.0,5.0,2.png
11,6,4.0,best,5.0,5.0,5.0,5.0,5.0,6.png
12,5,2.2333333333333334,worst,1.0,1.0,1.0,1.0,1.0,5.png
12,3,3.1999999999999997,worst,2.0,2.0,1.0,1.0,2.0,3.png
12,4,3.4,worst,1.0,3.0,2.0,1.0,3.0,4.png
12,2,3.7,best,5.0,5.0,5.0,5.0,5.0,2.png
12,7,3.95,best,5.0,4.0,5.0,5.0,5.0,7.png
12,6,4.0,best,5.0,5.0,5.0,5.0,5.0,6.png
