url;date;source;claim;verdict;iytis
https://www.politifact.com/factchecks/2023/oct/06/joe-biden/biden-said-obama-spent-hundreds-of-millions-to-bur/;August 31, 2023;PolitiFact;"""Under the Obama-Biden administration, we invested hundreds of millions of dollars in the state of Florida replacing wooden power poles with steel poles and we buried these electric lines.""";False;
https://www.politifact.com/factchecks/2024/oct/08/donald-trump/biden-administration-didnt-steal-1-billion-from-fe/;October 4, 2024;PolitiFact;"""The Biden administration stole $1 billion from FEMA to use it for illegal migrants. É And FEMA is now busted. They don't have any money.""";Pants on Fire;
https://www.politifact.com/factchecks/2024/sep/26/kamala-harris/kamala-harris-exaggerates-scale-of-prepandemic-man/;September 25, 2024;PolitiFact;"""Even before the pandemic, (Donald Trump) lost manufacturing jobs, by most people's estimates at least 200,000.""";Mostly False;
https://www.politifact.com/factchecks/2024/oct/12/donald-trump/trump-said-north-carolina-gov-cooper-democrats-blo/;October 11, 2024;PolitiFact;"""It has just come out that Democrats in Washington and the Democrat Governor's Office of North Carolina (Roy Cooper) were blocking people and money from coming into North Carolina.""";Pants on Fire;
https://www.politifact.com/factchecks/2024/aug/07/kamala-harris/kamala-harris-says-donald-trump-intends-to-cut-med/;July 30, 2024;PolitiFact;"""Donald Trump intends to cut Medicare.""";Mostly False;
https://www.politifact.com/factchecks/2025/jan/29/donald-trump/what-trump-omits-about-north-carolina-storm-victim/;January 24, 2025;PolitiFact;"""The Biden administration kicked 2,000 displaced North Carolinians out of their temporary housing into freezing 20-degree weather.""";Mostly False;
https://www.politifact.com/factchecks/2024/apr/22/kamala-harris/are-75-of-guns-used-in-school-shootings-found-unse/;April 15, 2024;PolitiFact;"""As many as 75% of school shootings resulted from a gun that was not secured.""";Mostly False;
https://www.politifact.com/factchecks/2025/jan/24/donald-trump/donald-trump-goes-too-far-in-claim-that-jan-6-comm/;January 22, 2025;PolitiFact;"""The U.S. House Select Committee that investigated the Jan. 6, 2021, attack on the U.S. Capitol 'deleted and destroyed all of the information that they collected over two years.'""";False;
https://www.politifact.com/factchecks/2024/oct/10/kamala-harris/kamala-harris-off-base-on-tax-rate-comparison-of-b/;October 7, 2024;PolitiFact;"""Teachers and nurses and firefighters are paying a higher tax rate than billionaires and the biggest corporations.""";Mostly False;
https://www.politifact.com/factchecks/2025/feb/07/donald-trump/trump-claimed-60-minutes-replaced-harris-interview/;February 6, 2025;PolitiFact;"""CBS News and '60 Minutes' replaced former Vice President Kamala Harris' interview answers with completely different, and far better, answers, taken from another part of the interview.""";False;
