claim,meme,coherence_avg,clarity_avg,hilarity_avg,persuasiveness_avg,template_avg,overall_avg,evaluation_type
1,5,3.0,3.6666666666666665,2.6666666666666665,3.6666666666666665,4.0,3.4,worst
1,4,3.6666666666666665,3.8333333333333335,3.0,3.0,3.6666666666666665,3.4333333333333336,worst
1,6,3.142857142857143,3.5714285714285716,3.4285714285714284,3.7142857142857144,3.4285714285714284,3.457142857142857,worst
1,3,4.1,4.1,4.0,3.9,4.2,4.06,best
1,1,4.36,4.4,3.76,3.76,4.14,4.0840000000000005,best
1,7,4.0,4.5,4.5,4.0,4.5,4.3,best
2,6,3.5,3.8333333333333335,2.5,3.0,3.1666666666666665,3.2,worst
2,5,3.111111111111111,3.7777777777777777,3.0,3.2222222222222223,3.2222222222222223,3.2666666666666666,worst
2,2,3.65,4.0,2.95,3.4,3.7,3.5400000000000005,worst
2,4,4.444444444444445,3.6666666666666665,3.888888888888889,3.3333333333333335,3.7777777777777777,3.822222222222222,best
2,7,4.333333333333333,3.8333333333333335,3.5,3.8333333333333335,4.0,3.9,best
2,3,4.4,4.4,3.4,3.4,4.4,4.0,best
3,7,1.0,1.0,1.0,1.0,2.0,1.2,worst
3,6,2.0,3.0,3.0,4.0,3.0,3.0,worst
3,3,4.0,3.0,3.0,3.0,3.0,3.2,worst
3,1,4.0,4.0,2.5,3.5,4.0,3.6,best
3,5,3.9444444444444446,4.166666666666667,3.6666666666666665,3.4444444444444446,4.0,3.844444444444444,best
3,8,4.023809523809524,4.0476190476190474,3.8095238095238093,3.642857142857143,3.9047619047619047,3.8857142857142852,best
4,4,1.5,2.5,2.5,2.0,2.0,2.1,worst
4,3,3.5,4.5,2.0,3.5,3.5,3.4,worst
4,5,3.5,3.6666666666666665,3.1666666666666665,3.5,3.6666666666666665,3.5,worst
4,7,4.0,3.6666666666666665,3.8333333333333335,3.8333333333333335,4.0,3.866666666666667,best
4,2,4.2727272727272725,4.2727272727272725,3.4545454545454546,3.5454545454545454,4.090909090909091,3.9272727272727272,best
4,8,4.183673469387755,4.1020408163265305,3.877551020408163,3.6122448979591835,4.061224489795919,3.96734693877551,best
5,7,2.5,2.75,2.5,2.75,3.0,2.7,worst
5,2,3.5,3.75,2.25,2.75,3.25,3.1,worst
5,3,3.6,3.6,2.8,3.0,3.4,3.28,worst
5,8,3.8666666666666667,3.7555555555555555,3.688888888888889,3.4,3.8222222222222224,3.706666666666666,best
5,5,3.6666666666666665,3.9444444444444446,3.7222222222222223,3.3333333333333335,3.888888888888889,3.711111111111111,best
5,1,4.333333333333333,4.0,3.5,3.3333333333333335,3.5,3.733333333333333,best
6,5,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.6666666666666665,2.6666666666666665,2.4666666666666663,worst
6,3,3.875,3.625,3.625,3.5,3.25,3.575,worst
6,7,3.75,3.75,3.5,4.0,3.75,3.75,worst
6,8,4.162162162162162,4.1891891891891895,3.5945945945945947,3.5405405405405403,3.972972972972973,3.891891891891892,best
6,2,4.076923076923077,4.230769230769231,3.5384615384615383,3.769230769230769,3.923076923076923,3.907692307692307,best
6,4,4.0,5.0,3.0,4.0,4.333333333333333,4.066666666666666,best
7,2,3.5,3.3333333333333335,3.3333333333333335,2.5,3.3333333333333335,3.2,worst
7,7,3.3333333333333335,3.6666666666666665,3.0,3.0,3.0,3.2,worst
7,3,4.0,3.1666666666666665,3.0,3.5,3.8333333333333335,3.5,worst
